clave,texto_aleman
home.sedi.globalTitle,"Bongiorno in der Welt,Der internationale Charakter unserer Tätigkeit und unser kontinuierliches Wachstum haben uns dazu veranlasst, unsere Dienstleistungen über die Grenzen der Länder, in denen wir bereits vertreten sind, hinaus auszuweiten, und zwar seit einiger Zeit dank der wertvollen Unterstützung und Hilfe des Agenturnetzes der World Trade Alliance, deren Mitglied wir seit 2009 sind.,Kontakt,Bongiorno Italia,/img/flags/de.svg,Die 1985 gegründete Bongiorno srl ist unsere Muttergesellschaft..,Mit Sitz in Gallarate, nur 5 Minuten vom Mailänder Flughafen Malpensa entfernt, treffen sich hier die wichtigsten Verkehrslinien, die aus den Industrieregionen Mittel- und Norditaliens kommen.,Die Nähe zu den wichtigsten Handelshäfen des nördlichen Mittelmeers versetzt uns in eine privilegierte Position, um extreme Schnelligkeit und Effizienz bei der Ausführung von Transportaufträgen zu garantieren...,Bongiorno Spanien,/img/banderas/de.svg,Mit dem Hauptsitz in Barcelona und den strategischen Logistikplattformen in Spanien und Portugal ist unser Hauptsitz in Spanien in der Lage, einen präzisen und umfassenden Service von und nach der gesamten Iberischen Halbinsel zu garantieren und stellt heute für die Gruppe einen Punkt von grundlegender Bedeutung für die Entwicklung des Verkehrs nach Nordafrika dar...,Bongiorno Frankreich,/img/flags/fr.svg,Unser Hauptsitz befindet sich in Marseille, an der Hauptzufahrtsstraße zur Stadt und nur 1 km vom Hafen entfernt, einem strategischen Punkt für den Seeverkehr zu den Häfen des Maghreb und des gesamten Mittelmeers,Wir verfügen auch über Logistikplattformen in den sensibelsten Gebieten (Region Paris, Region Lyon, Nordfrankreich). Mit unseren Straßentransportdiensten können wir auch einen großen Teil Deutschlands sowie ganz Belgien und die Niederlande bedienen.,Bongiorno Tunesien,/img/flags/tn.svg,Stellt unsere erste kommerzielle und operative Basis in Nordafrika dar. Die operative Struktur von Bongiorno Tunesien wird derzeit als eine der wichtigsten Realitäten im Transportsektor in Tunesien angesehen.,Wir nutzen drei Containerterminals mit Zolllagern in den wichtigsten tunesischen Häfen (Rades, Sousse und Sfax), die es uns ermöglichen, die Bedürfnisse aller tunesischen Wirtschaftsbeteiligten für jede Art von Transport zu erfüllen..,Bongiorno Algerien,/img/flags/dz.svg,Algerien ist ein Land in voller wirtschaftlicher Entwicklung und eine Realität, die auf der internationalen Bühne immer mehr an Bedeutung gewinnt.,Aus diesem Grund haben wir Anfang der 2000er Jahre Bongiorno Algérie gegründet, in der Überzeugung, dass unsere Erfahrung und Professionalität ein nützliches und geschätztes Instrument für algerische und europäische Wirtschaftsbeteiligte bei der Entwicklung ihrer Aktivitäten sein könnte.,Bongiorno in der Welt"
home.sedi.globalText,
home.sedi.globalContact,
home.sedi.locations[0].name,
home.sedi.locations[0].flag,
home.sedi.locations[0].description[0],
home.sedi.locations[0].description[1],
home.sedi.locations[0].description[2],
home.sedi.locations[0].contactUrl,#
home.sedi.locations[1].name,
home.sedi.locations[1].flag,
home.sedi.locations[1].description[0],
home.sedi.locations[1].description[1],
home.sedi.locations[1].contactUrl,#
home.sedi.locations[2].name,
home.sedi.locations[2].flag,
home.sedi.locations[2].description[0],
home.sedi.locations[2].description[1],
home.sedi.locations[2].contactUrl,#
home.sedi.locations[3].name,
home.sedi.locations[3].flag,
home.sedi.locations[3].description[0],
home.sedi.locations[3].description[1],
home.sedi.locations[3].contactUrl,#
home.sedi.locations[4].name,
home.sedi.locations[4].flag,
home.sedi.locations[4].description[0],
home.sedi.locations[4].description[1],
home.sedi.locations[4].contactUrl,#
home.sedi.locations[5].name,
home.sedi.locations[5].flag,"/img/flags/dz.svg,Die Internationalität unserer Tätigkeit und unser kontinuierliches Wachstum haben uns dazu veranlasst, unsere Dienstleistungen über die Grenzen der Länder hinaus zu erweitern, in denen wir seit einiger Zeit etabliert und konsolidiert sind, dank der wertvollen Unterstützung und Hilfe des Agenturnetzwerks, das von der World Trade Alliance (WCA) garantiert wird, deren Mitglied wir seit 2009 sind...,Angebot anfordern,Kontaktieren Sie uns über das Formular und Sie werden so schnell wie möglich von einem unserer Vertriebsmitarbeiter betreut..,Wählen Sie eine Option,Mehr,Firmenname,Ich bin eine Privatperson,Vor- und Nachname,E-Mail-Adresse,Telefonnummer,Ort,Postleitzahl,Adresse,Abgangsland,Land angeben,Abholort,Postleitzahl,Abholadresse,Bestimmungsland,Bestimmungsland angeben,Transport beinhaltet Gefahrgut,Güterklasse (ADR),Geschätztes Gewicht (kg),Geschätztes Volumen (m³)"
home.sedi.locations[5].description[0],
home.sedi.locations[5].contactUrl,#
quote.title,
quote.id,129837
quote.subtitle,
quote.select,
quote.other,
quote.fields.companyName,
quote.fields.isPrivate,
quote.fields.name,
quote.fields.email,
quote.fields.phone,
quote.fields.city,
quote.fields.zip,
quote.fields.address,
quote.fields.originCountry,
quote.fields.originOther,
quote.fields.originCity,
quote.fields.originZip,
quote.fields.originAddress,
quote.fields.destinationCountry,
quote.fields.destinationOther,
quote.fields.dangerousGoods,
quote.fields.goodsClass,
quote.fields.estimatedWeight,
quote.fields.estimatedVolume,
quote.fields.details,"Beschreibung oder zusätzliche Angaben,Ich stimme der Verarbeitung meiner Daten zu (obligatorisch, siehe Datenschutzerklärung hier),Datenschutzerklärung,Firmenname,Z.B. Sammelgut, Vollgut, Container, etc.,Geben Sie hier Ihre Versanddaten ein...,Geben Sie das Land an,Straße / Hausnummer,Ort,Postleitzahl,Angebotsanfrage senden,Senden...,Anfrage erfolgreich gesendet! Wir werden Sie in Kürze kontaktieren...,Fehler beim Senden. Bitte versuchen Sie es später noch einmal,Sie müssen der Verarbeitung Ihrer Daten zustimmen, um fortzufahren,Seit 1985 sind wir führend im Transport zwischen Europa und dem Maghreb, hauptsächlich Tunesien, Algerien und Marokko, sowie vielen anderen Zielen, und bedienen jedes Jahr mehr als 60 Länder in der ganzen Welt..,Klare Tarife und keine Überraschungen,Lokale Büros in Tunesien, Algerien, Italien, Spanien und Frankreich,Sammelgut, FCL und Projektladung,Auswahl an Versicherungen, einschließlich All Risks,Über 35 Jahre Erfahrung,Angebot anfordern,Jetzt anrufen,Rechtliches,Bongiorno Srl - VAT 10408830155"
quote.fields.consent,
quote.privacyLink,
quote.placeholders.company,
quote.placeholders.transport,
quote.placeholders.details,
quote.placeholders.otherCountry,
quote.placeholders.address,
quote.placeholders.city,
quote.placeholders.zip,
quote.submit,
quote.sending,
quote.success,
quote.error,
quote.errors.noConsent,
quote.intro,
quote.features[0],
quote.features[1],
quote.features[2],
quote.features[3],
quote.features[4],
quote.cta.quote,
quote.cta.call,
footer.legal.title,
footer.legal.company,
footer.legal.details,"Adresse: Via Marsala, 40 - 21013 Gallarate (Varese),Nützliche Links,Reiseziele,Arbeiten Sie mit uns,Über uns,Datenschutz,Kontakte,Kontakte,+39 0331 776 334,Via Marsala, 40 - 21013 Gallarate (VA),Alle Rechte vorbehalten..,Dienstleistungen,Dank unserer Erfahrung und unserer direkten Präsenz in den wichtigsten Mittelmeerländern bieten wir ein komplettes Angebot an internationalen Transport- und Logistikdienstleistungen, die Pünktlichkeit, Sicherheit und Komfort garantieren.,Sammelgutverkehr,#Group,Für Industrie, Handel und Großbaustellen haben wir Dienstleistungen geschaffen, die dem Transport die besten Leistungen und Bedingungen bieten. Damit Ihre Waren immer pünktlich ankommen.,Lkw,Komplette Transporte,#komplett,Schnelligkeit in Bezug auf Frequenz und Transitzeiten, Verfügbarkeit von Platz an Bord von Schiffen und eine große Auswahl an Containern in den wichtigsten Häfen des Maghreb.,Kogge,Außergewöhnliche Transporte und Projet Cargo,#außergewöhnlich,Transporte, die eine hohe Spezialisierung und eine sorgfältige Untersuchung der Routen, Vorschriften, Eigenschaften der Waren und Gebiete erfordern.,ShieldCheck"
footer.links.title,
footer.links.destinations,
footer.links.workwithus,
footer.links.about,
footer.links.privacy,
footer.links.contacts,
footer.contact.title,
footer.contact.email,bongiorno@bongiornosrl.com
footer.contact.phone,
footer.contact.address,
footer.rights,
services.title,
services.intro,
services.cards[0].icon,Package
services.cards[0].title,
services.cards[0].href,
services.cards[0].text,
services.cards[1].icon,
services.cards[1].title,
services.cards[1].href,
services.cards[1].text,
services.cards[2].icon,
services.cards[2].title,
services.cards[2].href,
services.cards[2].text,
services.cards[3].icon,
services.cards[3].title,"Kaskoversicherung,#Versicherung,Um nichts dem Zufall zu überlassen. Eine Versicherungspolice auf Anfrage, die gegen jedes Risiko während des Transports schützt.,Sammelgutverkehr,Ein weites Netz von Straßenbetreibern, das das gesamte europäische Territorium abdeckt, garantiert, dass die Waren in kürzester Zeit und mit den besten Qualitätsgarantien in unseren Sammelzentren ankommen.,Wir verfügen über moderne Logistikbereiche, die mit hocheffizienten Fahrzeugen und Personal ausgestattet sind und über moderne Sicherheitssysteme verfügen, die bereit sind, sich an die unterschiedlichsten Bedürfnisse anzupassen.,Als AEO-Betreiber in Italien verwalten wir die Zollvorgänge direkt in den Sammelzentren, mit unserem Personal und mit Echtzeitdynamik. Wir sind uns der Bedeutung jedes einzelnen Dokuments bewusst.,Die Regelmäßigkeit und Häufigkeit unserer Dienste, mit der Möglichkeit, auch sekundäre Häfen im Maghreb anzusteuern, ermöglicht es uns, unseren Kunden eine einzigartige Palette von Dienstleistungen auf diesen Märkten anzubieten.,Wählen Sie Bongiorno für einen Transportdienst, der Ihre Erwartungen übertrifft und Sie begleitet, wo immer Sie ihn brauchen. Setzen Sie sich mit uns in Verbindung, um herauszufinden, wie wir Ihnen helfen können, Ihre Sendungen zu optimieren und neue Märkte mit Vertrauen zu erreichen. Unsere Erfahrung und unser Engagement werden Ihnen immer zur Seite stehen!,Lkw,Komplette Transporte,Wir sind uns bewusst, dass der Erfolg einer Sendung von vielen Variablen abhängt, und unsere Spezialisierung in diesem Bereich macht uns zum idealen Partner, um alle Eventualitäten zu bewältigen.,Liebe zum Detail, von der Wahl des idealen Seefrachtspediteurs je nach Markt bis hin zur Zuverlässigkeit der Dienstleistungen und der Verfügbarkeit der Ausrüstung. Nichts wird dem Zufall überlassen.,Wir haben große Ressourcen eingesetzt, um alle Komponenten, die unserem Transport ein Höchstmaß an Zuverlässigkeit verleihen, immer effizienter zu verwalten.,Wenn Sie also einen zuverlässigen und effizienten Container- oder Full-Trailer-Transportdienst suchen, sind wir für Sie da. Um Ihre Waren schnell und sicher zu transportieren,,Cog,Außergewöhnliche Transporte und Project Cargo, Eine Art von Transport, die nicht nur ein tiefes Wissen, sondern auch ein sorgfältiges Studium der Routen, Vorschriften, Eigenschaften der Waren und der Gebiete, in denen die Transporte durchgeführt werden, erfordert. Wir berücksichtigen alle Eventualitäten, um sicherzustellen, dass technische oder bürokratische Hindernisse das Ergebnis nicht beeinträchtigen, und wählen die zuverlässigsten und am besten geeigneten Partner auf dem Land- und Seeweg für die Länder aus, die Sie durchqueren möchten. Die Garantien, die wir unseren Kunden bei diesen heiklen Transporten bieten. Um die uns anvertrauten Güter sicher abzuliefern, erachten wir die ""All Risks""-Versicherung als ein Instrument von großer Bedeutung. Aus diesem Grund verfügen wir über eine nachweislich zuverlässige Police, die wir unseren Kunden auf ausdrücklichen Wunsch zur Verfügung stellen,Unsere stabile und langjährige Präsenz vor Ort macht uns zu einem soliden Partner, der in der Lage ist, jedes unvorhergesehene Ereignis schnell zu lösen und auf allen Märkten, auf denen wir tätig sind, ein Höchstmaß an Schnelligkeit, Sicherheit und Garantie zu bieten."
services.cards[3].href,
services.cards[3].text,
services.details[0].id,agrupamiento
services.details[0].icon,Package
services.details[0].title,
services.details[0].paragraphs[0],
services.details[0].paragraphs[1],
services.details[0].paragraphs[2],
services.details[0].paragraphs[3],
services.details[0].paragraphs[4],
services.details[1].id,trajes
services.details[1].icon,
services.details[1].title,
services.details[1].paragraphs[0],
services.details[1].paragraphs[1],
services.details[1].paragraphs[2],
services.details[1].paragraphs[3],
services.details[2].id,excepcional
services.details[2].icon,
services.details[2].title,
services.details[2].paragraphs[0],
services.details[2].paragraphs[1],
services.details[3].id,seguro
services.details[3].icon,
services.details[3].title,
services.details[3].paragraphs[0],
services.details[3].paragraphs[1],
ctaBanner.cta_main,
ctaBanner.claim,
ctaBanner.cta.ctacontatti,"Kontakt,/Kontakte,Weitere Informationen über Dienstleistungen,/Dienstleistungen,Rufen Sie uns an oder schreiben Sie uns und wir werden Sie mit unserem am besten geeigneten Vertriebsmitarbeiter in Verbindung setzen,Wir sprechen Italienisch, Französisch, Spanisch, Englisch und Deutsch,Angebot anfordern,Über uns,Wir führen seit 1985 internationale Transporte durch und garantieren Effizienz und Zuverlässigkeit..,Hauptsitz und Logistik Bongiorno,Mehr als,Transporte pro Jahr,Aktiv seit,Jahren,Mehr als,Mitarbeiter in 5 Ländern,Im Jahr 1985, in Gallarate, begann die Geschichte unseres Unternehmens, Frucht einer großen Intuition unseres Gründers und Präsidenten: in Tunesien das große Potential und die Affinitäten, die uns vereinen, zu lesen und in sie zu investieren...,Seit Beginn unserer Tätigkeit haben wir eine Politik der Spezialisierung verfolgt, indem wir all unsere technischen und personellen Ressourcen genau auf den tunesischen Markt und in einer zweiten Phase auf den gesamten Maghreb ausgerichtet haben. Diese Besonderheit hat es unserer Organisation ermöglicht, sich auf den nordafrikanischen Märkten zu konsolidieren und zu einem Referenzunternehmen für Transporte in dieser Region zu werden. Ohne jemals die wirklichen Bedürfnisse der Exporteure und Importeure aus den Augen zu verlieren und sich an die sich verändernden Realitäten der Länder und Märkte sowohl am Bestimmungsort als auch beim Abgang der Waren anzupassen, dachten wir nach der Konsolidierung unserer Linien, dass unsere Vision des Transports auch über diese Grenzen hinausgehen sollte und dass wir dadurch unsere Identität nicht verlieren, sondern im Gegenteil bereichern würden..,Die internationale Dimension unserer Transporte wird heute täglich von unseren Kunden anerkannt, die uns immer häufiger mit der Abwicklung ihrer Sendungen in der ganzen Welt betrauen.,Unsere Geschichte,Der Sitz von Bongiorno in Gallarate, Via Marsala 40, Firmensitz,Kontakt,Adresse"
ctaBanner.cta.hrefcontatti,
ctaBanner.cta.ctaservizi,
ctaBanner.cta.hrefservizi,
ctaBanner.cta.contattaci,
ctaBanner.cta.parliamo,
ctaBanner.cta.quote,
about.hero.title,
about.hero.subtitle,
about.hero.alt,
about.counters.transports_prefix,
about.counters.transports_label,
about.counters.years_prefix,
about.counters.years_label,
about.counters.employees_prefix,
about.counters.employees_label,
about.text1,
about.text2,
about.text3,
about.text4,
about.text5,
about.subtitle,
about.sede,
contact.title,
contact.address.label,
contact.address.value,"Via Marsala 40, Gallarate, Varese, 21013 Italien,Email,Telefon,+39 0331 776 334,Schreiben Sie uns eine Nachricht,Name,Email,Nachricht,Senden,Senden...,Nachricht gesendet.,Ich stimme der Verarbeitung meiner Daten zu (erforderlich, siehe Datenschutzrichtlinie hier),Sie müssen der Verarbeitung Ihrer Daten zustimmen, um fortzufahren."
contact.email.label,
contact.email.value,bongiorno@bongiornosrl.com
contact.phone.label,
contact.phone.value,
contact.form.title,
contact.form.name,
contact.form.email,
contact.form.message,
contact.form.submit,
contact.form.sending,
contact.form.success,
contact.form.consent,
contact.form.noConsent,
